"iso3","year","median","varnum"
"IRL",1995,73.03698,"01"
"IRL",2000,74.53377,"01"
"IRL",2005,76.54796,"01"
"IRL",2010,77.81553,"01"
"IRL",2015,77.838,"01"
"IRL",2018,78.41568,"01"
"IRN",1990,146.41638,"01"
"IRN",1995,156.91809,"01"
"IRN",2000,167.23082,"01"
"IRN",2005,174.83788,"01"
"IRN",2010,179.19275,"01"
"IRN",2015,168.81381,"01"
"IRN",2018,168.59047,"01"
"IRQ",1990,100.40349,"01"
"IRQ",1995,101.10011,"01"
"IRQ",2000,104.43671,"01"
"IRQ",2005,107.03144,"01"
"IRQ",2010,108.21124,"01"
"IRQ",2015,104.47325,"01"
"IRQ",2018,102.93162,"01"
"ISL",1990,71.38569,"01"
"ISL",1995,72.18451,"01"
"ISL",2000,73.33372,"01"
"ISL",2005,74.77092,"01"
"ISL",2010,75.62393,"01"
"ISL",2015,75.53077,"01"
"ISL",2018,76.0813,"01"
"ISR",1990,190.81916,"01"
"ISR",1995,135.46475,"01"
"ISR",2000,151.5948,"01"
"ISR",2005,209.23577,"01"
"ISR",2010,130.60952,"01"
"ISR",2015,123.16837,"01"
"ISR",2018,133.91725,"01"
"ITA",1990,178.97089,"01"
"ITA",1995,174.27858,"01"
"ITA",2000,200.243,"01"
"ITA",2005,207.99306,"01"
"ITA",2010,209.24758,"01"
"ITA",2015,201.75439,"01"
"ITA",2018,199.41817,"01"
"JAM",1990,164.44589,"01"
"JAM",1995,191.77743,"01"
"JAM",2000,201.68767,"01"
"JAM",2005,193.55627,"01"
"JAM",2010,186.54949,"01"
"JAM",2015,172.04483,"01"
"JAM",2018,176.66756,"01"
"JOR",1990,155.22369,"01"
"JOR",1995,164.13078,"01"
"JOR",2000,165.85754,"01"
"JOR",2005,169.28598,"01"
"JOR",2010,172.56068,"01"
"JOR",2015,169.38004,"01"
"JOR",2018,171.14689,"01"
"JPN",1990,98.47053,"01"
"JPN",1995,106.31684,"01"
"JPN",2000,105.54078,"01"
"JPN",2005,123.71509,"01"
"JPN",2010,107.27076,"01"
"JPN",2015,107.44567,"01"
"JPN",2018,108.92844,"01"
"KAZ",1990,55.54346,"01"
